2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=30004, parentId=30000, name=研究生, value=4, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=30005, parentId=30000, name=其他, value=5, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=40000, parentId=1, name=收入, value=null, dictCode=income)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=40001, parentId=40000, name=0-3000, value=1, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=40002, parentId=40000, name=3000-5000, value=2, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=40003, parentId=40000, name=5000-10000, value=3, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=40004, parentId=40000, name=10000以上, value=4, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=50000, parentId=1, name=收入来源, value=null, dictCode=returnSource)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=50001, parentId=50000, name=工资, value=1, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=50002, parentId=50000, name=股票, value=2, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=50003, parentId=50000, name=兼职, value=3, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=60000, parentId=1, name=关系, value=null, dictCode=relation)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=60001, parentId=60000, name=夫妻, value=1, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=60002, parentId=60000, name=兄妹, value=2, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=60003, parentId=60000, name=父母, value=3, dictCode=null)
2022-09-15 12:46:59 [INFO ] http-nio-8110-exec-1 ExcelDictDtoListener.java:29 com.krian.finance.core.listener.ExcelDictDtoListener 解析到一条记录: ExcelDictDto(id=60004, parentId=60000, name=其他, value=4, dictCode=null)
